"ID" "Group" "times" "RATS" "time"
"71" "7" 1 "WD36" 274 3
"72" "8" 1 "WD36" 265 3
"73" "9" 2 "WD36" 443 3
"74" "10" 2 "WD36" 460 3
"75" "11" 2 "WD36" 455 3
"76" "12" 2 "WD36" 597 3
"77" "13" 3 "WD36" 493 3
"78" "14" 3 "WD36" 540 3
"79" "15" 3 "WD36" 546 3
"80" "16" 3 "WD36" 538 3
"81" "1" 1 "WD43" 266 4
"82" "2" 1 "WD43" 243 4
"83" "3" 1 "WD43" 267 4
"84" "4" 1 "WD43" 270 4
"85" "5" 1 "WD43" 274 4
"86" "6" 1 "WD43" 278 4
"87" "7" 1 "WD43" 276 4
"88" "8" 1 "WD43" 265 4
"89" "9" 2 "WD43" 442 4
"90" "10" 2 "WD43" 458 4
"91" "11" 2 "WD43" 451 4
"92" "12" 2 "WD43" 595 4
"93" "13" 3 "WD43" 493 4
"94" "14" 3 "WD43" 525 4
"95" "15" 3 "WD43" 538 4
"96" "16" 3 "WD43" 535 4
"97" "1" 1 "WD44" 266 4
"98" "2" 1 "WD44" 244 4
"99" "3" 1 "WD44" 267 4
"100" "4" 1 "WD44" 272 4
"101" "5" 1 "WD44" 273 4
"102" "6" 1 "WD44" 278 4
"103" "7" 1 "WD44" 271 4
"104" "8" 1 "WD44" 267 4
"105" "9" 2 "WD44" 446 4
"106" "10" 2 "WD44" 464 4
"107" "11" 2 "WD44" 450 4
"108" "12" 2 "WD44" 595 4
"109" "13" 3 "WD44" 504 4
"110" "14" 3 "WD44" 530 4
"111" "15" 3 "WD44" 544 4
"112" "16" 3 "WD44" 542 4
"113" "1" 1 "WD50" 265 5
"114" "2" 1 "WD50" 238 5
"115" "3" 1 "WD50" 264 5
"116" "4" 1 "WD50" 274 5
"117" "5" 1 "WD50" 276 5
"118" "6" 1 "WD50" 284 5
"119" "7" 1 "WD50" 282 5
"120" "8" 1 "WD50" 273 5
"121" "9" 2 "WD50" 456 5
"122" "10" 2 "WD50" 475 5
"123" "11" 2 "WD50" 462 5
"124" "12" 2 "WD50" 612 5
"125" "13" 3 "WD50" 507 5
"126" "14" 3 "WD50" 543 5
"127" "15" 3 "WD50" 553 5
"128" "16" 3 "WD50" 550 5
"129" "1" 1 "WD57" 272 5
"130" "2" 1 "WD57" 247 5
"131" "3" 1 "WD57" 268 5
"132" "4" 1 "WD57" 273 5
"133" "5" 1 "WD57" 278 5
"134" "6" 1 "WD57" 279 5
"135" "7" 1 "WD57" 281 5
"136" "8" 1 "WD57" 274 5
"137" "9" 2 "WD57" 468 5
"138" "10" 2 "WD57" 484 5
"139" "11" 2 "WD57" 466 5
"140" "12" 2 "WD57" 618 5
"141" "13" 3 "WD57" 518 5
"142" "14" 3 "WD57" 544 5
"143" "15" 3 "WD57" 555 5
"144" "16" 3 "WD57" 553 5
"145" "1" 1 "WD64" 278 6
"146" "2" 1 "WD64" 245 6
"147" "3" 1 "WD64" 269 6
"148" "4" 1 "WD64" 275 6
"149" "5" 1 "WD64" 280 6
"150" "6" 1 "WD64" 281 6
"151" "7" 1 "WD64" 284 6
"152" "8" 1 "WD64" 278 6
"153" "9" 2 "WD64" 478 6
"154" "10" 2 "WD64" 496 6
"155" "11" 2 "WD64" 472 6
"156" "12" 2 "WD64" 628 6
"157" "13" 3 "WD64" 525 6
"158" "14" 3 "WD64" 559 6
"159" "15" 3 "WD64" 548 6
"160" "16" 3 "WD64" 569 6
"161" "1" 1 "WD8" 250 8
"162" "2" 1 "WD8" 230 8
"163" "3" 1 "WD8" 250 8
"164" "4" 1 "WD8" 255 8
"165" "5" 1 "WD8" 260 8
"166" "6" 1 "WD8" 265 8
"167" "7" 1 "WD8" 275 8
"168" "8" 1 "WD8" 255 8
"169" "9" 2 "WD8" 415 8
"170" "10" 2 "WD8" 420 8
"171" "11" 2 "WD8" 445 8
"172" "12" 2 "WD8" 560 8
"173" "13" 3 "WD8" 465 8
"174" "14" 3 "WD8" 525 8
"175" "15" 3 "WD8" 525 8
"176" "16" 3 "WD8" 510 8
